ActorName;Gender;"Actor's default image source"
Ingmar Bergman;m;"https://m.media-amazon.com/images/M/MV5BMTc4MjQwMzY0N15BMl5BanBnXkFtZTcwNTI1NTM1MQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Ingrid Bergman;f;"https://m.media-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
Humphrey Bogart;m;"https://m.media-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Marlon Brando;m;"https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Richard Burton;m;"https://m.media-amazon.com/images/M/MV5BNDYzNzE3NzI5N15BMl5BanBnXkFtZTYwNDg5OTI2._V1_UY317_CR20,0,214,317_AL_.jpg"
James Cagney;m;"https://m.media-amazon.com/images/M/MV5BMTcyNDY5NTgxNV5BMl5BanBnXkFtZTYwNzY4MzQ2._V1_UY317_CR14,0,214,317_AL_.jpg"
Gary Cooper;m;"https://m.media-amazon.com/images/M/MV5BMTUyMjI1MDEyN15BMl5BanBnXkFtZTYwNzkwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
Bette Davis;f;"https://m.media-amazon.com/images/M/MV5BMTQ2OTQ4NTU2OF5BMl5BanBnXkFtZTcwMzI3MjY5Ng@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Doris Day;f;"https://m.media-amazon.com/images/M/MV5BMTI4NTQ1MTQwMF5BMl5BanBnXkFtZTYwMzc3ODM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Olivia de Havilland;f;"https://m.media-amazon.com/images/M/MV5BMjA0Njc5Mjk5M15BMl5BanBnXkFtZTYwOTk1MjU2._V1_UY317_CR17,0,214,317_AL_.jpg"
James Dean;m;"https://m.media-amazon.com/images/M/MV5BMTg5NTgzMTkzNl5BMl5BanBnXkFtZTYwMTQwNjI2._V1_UX214_CR0,0,214,317_AL_.jpg"
Marlene Dietrich;f;"https://m.media-amazon.com/images/M/MV5BMTI0NTcyMTM5OF5BMl5BanBnXkFtZTYwOTkzMDU2._V1_UY317_CR18,0,214,317_AL_.jpg"
Kirk Douglas;m;"https://m.media-amazon.com/images/M/MV5BMTc1NDc0MjI5NV5BMl5BanBnXkFtZTYwMDE1MjM2._V1_UY317_CR17,0,214,317_AL_.jpg"
Henry Fonda;m;"https://m.media-amazon.com/images/M/MV5BOTEwNjQ2ODQ4Nl5BMl5BanBnXkFtZTYwMzEwMTM2._V1_UY317_CR20,0,214,317_AL_.jpg"
Joan Fontaine;f;"https://m.media-amazon.com/images/M/MV5BMTUwMzk0NjkyMV5BMl5BanBnXkFtZTYwNTUyMjI2._V1_UY317_CR22,0,214,317_AL_.jpg"
Clark Gable;m;"https://m.media-amazon.com/images/M/MV5BMjE1NDY5MjM5Ml5BMl5BanBnXkFtZTYwNTU1OTQ2._V1_UY317_CR15,0,214,317_AL_.jpg"
Judy Garland;f;"https://m.media-amazon.com/images/M/MV5BMTYwMTQ0ODMxNF5BMl5BanBnXkFtZTYwNDY2MjU2._V1_UY317_CR18,0,214,317_AL_.jpg"
John Gielgud;m;"https://m.media-amazon.com/images/M/MV5BMTU4ODc4Mzk1OV5BMl5BanBnXkFtZTYwNDQ0MjQ2._V1_UY317_CR13,0,214,317_AL_.jpg"
Cary Grant;m;"https://m.media-amazon.com/images/M/MV5BNzYyODM4NDU1MV5BMl5BanBnXkFtZTYwMjI1ODM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Alec Guinness;m;"https://m.media-amazon.com/images/M/MV5BMTIxMTA5OTI2M15BMl5BanBnXkFtZTYwNjEwNjU2._V1_UY317_CR16,0,214,317_AL_.jpg"
